10,10.251
10,10.119
7.35,7.35
6.78,6.78
6.68,6.68
6.75,6.75
1.61,1.61
7.23,7.23
7.87,7.87
10,10.221
10,10.598
10,10.877
10,10.914
10,10.416
6.59,6.59
7.12,7.12
8.8,8.8
9.74,9.74
10,10.885
10,10.877
10,10.45
7.97,7.97
7.56,7.56
7.04,7.04
7.25,7.25
6.7,6.7
6.32,6.32
6,6
5.25,5.25
6.14,6.14
6.54,6.54
6.85,6.85
7.45,7.45
7.21,7.21
7.87,7.87
8.11,8.11
10,10.598
10,10.711
10,10.536
10,10.213
8.54,8.54
7.39,7.39
7.35,7.35
6.54,6.54
3.46,3.46
5.49,5.49
6,6
7.27,7.27
7.86,7.86
9.6,9.6
10,10.191
10,10.292
10,10.331
8.22,8.22
7.44,7.44
7.03,7.03
7.25,7.25
5.91,5.91
6.48,6.48
6.15,6.15
5.44,5.44
5.49,5.49
5.18,5.18
5.39,5.39
5.14,5.14
5.91,5.91
6.26,6.26
6.47,6.47
6.85,6.85
6.98,6.98
7.17,7.17
8.01,8.01
10,10.05
10,10.056
9.97,9.97
8.35,8.35
6.84,6.84
6.83,6.83
6.6,6.6
4.99,4.99
2.4,2.4
1.06,1.06
2.23,2.23
1.42,1.42
1.8,1.8
3.57,3.57
6.05,6.05
5.36,5.36
6.9,6.9
7.86,7.86
9.5,9.5
9.37,9.37
9.48,9.48
7.84,7.84
6.34,6.34
6.62,6.62
6.69,6.69
5.45,5.45
6.03,6.03
5.62,5.62
5.05,5.05
5.44,5.44
5.3,5.3
4.73,4.73
4.87,4.87
5.55,5.55
6.07,6.07
5.8,5.8
6.24,6.24
6.43,6.43
5.96,5.96
6.35,6.35
6.27,6.27
5.91,5.91
7.08,7.08
9.42,9.42
9.32,9.32
9.43,9.43
7.56,7.56
7.09,7.09
6.58,6.58
4.95,4.95
2.28,2.28
1.56,1.56
2.19,2.19
2.39,2.39
1.83,1.83
2.49,2.49
2.21,2.21
1.67,1.67
1.1,1.1
2.19,2.19
6.15,6.15
6.41,6.41
6.85,6.85
8.6,8.6
8.66,8.66
8.61,8.61
6.44,6.44
5.59,5.59
6.36,6.36
6.2,6.2
6.04,6.04
0,0
0,0
0,0
0,0
5.52,5.52
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2.5,2.5
2.45,2.45
4.24,4.24
5.6,5.6
5.56,5.56
7.29,7.29
7.37,7.37
8.15,8.15
6.7,6.7
4.57,4.57
3.84,3.84
0.89,0.89
0.43,0.43
0.86,0.86
2.24,2.24
2.12,2.12
1.44,1.44
0.69,0.69
0.57,0.57
1.59,1.59
1.23,1.23
0.62,0.62
0.47,0.47
0.6,0.6
1.21,1.21
2.07,2.07
6.6,6.6
7.83,7.83
6.86,6.86
6,6
5.16,5.16
3.17,3.17
1.97,1.97
1.82,1.82
1.82,1.82
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.43,1.43
1.21,1.21
1.3,1.3
2.17,2.17
2.58,2.58
5.56,5.56
5.85,5.85
6.61,6.61
6.56,6.56
1.88,1.88
0.99,0.99
0.65,0.65
0.46,0.46
0.52,0.52
0.8,0.8
1.21,1.21
0.68,0.68
0.47,0.47
0.45,0.45
0.72,0.72
0.71,0.71
0.57,0.57
0.43,0.43
0.47,0.47
0.63,0.63
0.84,0.84
3.2,3.2
6.18,6.18
5.16,5.16
4.51,4.51
2.8,2.8
1.9,1.9
1.47,1.47
1.01,1.01
0.96,0.96
1.07,1.07
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.63,0.63
0.84,0.84
1.21,1.21
1.32,1.32
1.51,1.51
1.58,1.58
2.02,2.02
4.52,4.52
5.4,5.4
3.64,3.64
0.99,0.99
0.71,0.71
0.49,0.49
0.46,0.46
0.47,0.47
0.54,0.54
0.6,0.6
0.43,0.43
